,日付,カテゴリーコード,カテゴリー名称,市場コード,市場名称,数量
77,2021/10/26,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,154266.9727
80,2021/10/27,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,142439.9061
83,2021/10/28,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,147270.2701
86,2021/10/29,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,153662.6791
89,2021/10/30,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,180014.2505
92,2021/10/31,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,180197.7404
95,2021/11/01,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,167726.4725
98,2021/11/02,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,154997.6433
101,2021/11/03,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,160463.3512
104,2021/11/04,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,141873.7487
107,2021/11/05,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,147955.5346
110,2021/11/06,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,171728.1951
113,2021/11/07,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,165095.9908
116,2021/11/08,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,149469.6065
119,2021/11/09,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,147422.422
122,2021/11/10,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,135912.387
125,2021/11/11,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,143494.1534
128,2021/11/12,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,144831.701
131,2021/11/13,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,175544.2988
134,2021/11/14,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,158822.1335
137,2021/11/15,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,179756.5643
140,2021/11/16,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,144488.5949
143,2021/11/17,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,136495.5059
146,2021/11/18,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,158348.9032
149,2021/11/19,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,142452.8583
152,2021/11/20,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,169825.4943
155,2021/11/21,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,158512.6325
158,2021/11/22,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,156639.7248
161,2021/11/23,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,160073.9495
164,2021/11/24,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,134504.2412
167,2021/11/25,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,150317.1199
170,2021/11/26,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,142293.0365
173,2021/11/27,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,169389.374
176,2021/11/28,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,159120.3328
179,2021/11/29,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,156757.6729
182,2021/11/30,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,137787.5138
2,2021/12/01,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,145607.7755
5,2021/12/02,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,134921.572
8,2021/12/03,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,149237.1105
11,2021/12/04,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,180280.3688
14,2021/12/05,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,168138.1991
17,2021/12/06,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,152530.9442
20,2021/12/07,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,144455.7171
