,日付,カテゴリーコード,カテゴリー名称,市場コード,市場名称,数量
33,2021/10/12,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,352934.7817
36,2021/10/13,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,306915.5214
39,2021/10/14,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,314338.306
42,2021/10/15,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,418257.3636
45,2021/10/16,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,375163.5149
48,2021/10/17,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,388486.6288
51,2021/10/18,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,398680.904
54,2021/10/19,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,365116.2389
57,2021/10/20,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,334403.4468
60,2021/10/21,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,338651.5068
63,2021/10/22,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,336858.5068
66,2021/10/23,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,389449.3675
69,2021/10/24,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,389795.786
72,2021/10/25,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,429235.6686
75,2021/10/26,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,364141.8987
78,2021/10/27,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,322172.8366
81,2021/10/28,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,332497.852
84,2021/10/29,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,339284.9937
87,2021/10/30,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,373108.7183
90,2021/10/31,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,396690.2053
93,2021/11/1,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,415106.2656
96,2021/11/2,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,350226.9411
99,2021/11/3,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,340461.736
102,2021/11/4,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,335180.9626
105,2021/11/5,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,348269.3499
108,2021/11/6,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,392732.8348
111,2021/11/7,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,388923.3169
114,2021/11/8,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,373378.8198
117,2021/11/9,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,371809.908
120,2021/11/10,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,338277.8517
123,2021/11/11,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,341895.3672
126,2021/11/12,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,343533.2954
129,2021/11/13,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,391135.7206
132,2021/11/14,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,378613.6523
135,2021/11/15,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,471041.8964
138,2021/11/16,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,358153.1436
141,2021/11/17,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,327399.9119
144,2021/11/18,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,368246.5712
147,2021/11/19,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,333013.1577
150,2021/11/20,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,382286.8729
153,2021/11/21,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,381557.3808
156,2021/11/22,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,392513.8981
159,2021/11/23,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,379541.8367
